root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req,repo_url,pr_url,pr_merged_at,align_method,align_sha,status
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-youtubereporting1,2.0.0+20210329,2021-04-02 12:46:52.223957 UTC,google-youtubereporting1-cli,2.0.4+20210329,2021-04-15 03:04:51.187041 UTC,12,^2.0.4,https://github.com/Byron/google-apis-rs/tree/main/gen/youtubereporting1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-bigquery2,2.0.0+20210327,2021-04-01 15:55:56.942331 UTC,google-bigquery2-cli,2.0.4+20210327,2021-04-15 01:12:59.706693 UTC,13,^2.0.4,https://github.com/Byron/google-apis-rs/tree/main/gen/bigquery2-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-drive2,2.0.0+20210322,2021-04-02 00:10:13.525904 UTC,google-drive2-cli,2.0.3+20210322,2021-04-14 04:38:23.027782 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/drive2-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-serviceregistryalpha,2.0.0+20160401,2021-04-02 12:44:00.454546 UTC,google-serviceregistryalpha-cli,2.0.3+20160401,2021-04-14 05:46:48.406493 UTC,11,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/serviceregistryalpha-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-monitoring3,2.0.0+20210322,2021-04-02 00:31:09.719152 UTC,google-monitoring3-cli,2.0.3+20210322,2021-04-14 05:19:24.128344 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/monitoring3-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-compute1,2.0.0+20210316,2021-04-01 16:00:25.040310 UTC,google-compute1-cli,2.0.4+20210316,2021-04-14 09:46:19.398823 UTC,12,^2.0.4,https://github.com/Byron/google-apis-rs/tree/main/gen/compute1-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-cloudresourcemanager1,2.0.0+20210328,2021-04-02 00:07:10.341038 UTC,google-cloudresourcemanager1-cli,2.0.4+20210328,2021-04-15 01:16:10.780551 UTC,13,^2.0.4,https://github.com/Byron/google-apis-rs/tree/main/gen/cloudresourcemanager1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-logging2_beta1,2.0.0+20190325,2021-04-02 00:19:49.689758 UTC,google-logging2_beta1-cli,2.0.3+20190325,2021-04-14 05:04:26.262897 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/logging2_beta1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-dns1,2.0.0+20210319,2021-04-02 00:09:44.199103 UTC,google-dns1-cli,2.0.3+20210319,2021-04-14 04:35:55.520743 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/dns1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-autoscaler1_beta2,2.0.0+20150629,2021-04-01 15:55:47.989574 UTC,google-autoscaler1_beta2-cli,2.0.3+20150629,2021-04-14 04:02:41.157076 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/autoscaler1_beta2-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-gmail1,2.0.0+20210322,2021-04-02 00:11:36.628206 UTC,google-gmail1-cli,2.0.3+20210322,2021-04-14 04:48:57.370376 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/gmail1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-identitytoolkit3,2.0.0+20180723,2021-04-01 16:08:17.784635 UTC,google-identitytoolkit3-cli,2.0.3+20180723,2021-04-14 05:01:11.931375 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/identitytoolkit3-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-people1,2.0.0+20210330,2021-04-02 12:41:07.836073 UTC,google-people1-cli,2.0.3+20210330,2021-04-14 05:25:54.580858 UTC,11,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/people1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-container1,2.0.0+20210314,2021-04-01 16:00:39.567326 UTC,google-container1-cli,2.0.3+20210314,2021-04-14 04:06:14.670311 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/container1-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-groupssettings1,2.0.0+20210325,2021-04-02 00:11:47.366428 UTC,google-groupssettings1-cli,2.0.3+20210325,2021-04-14 04:52:10.443549 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/groupssettings1-cli,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-doubleclickbidmanager1,2.0.0+20210323,2021-04-01 16:05:12.098695 UTC,google-doubleclickbidmanager1-cli,2.0.3+20210323,2021-04-14 04:37:30.753943 UTC,12,^2.0.3,https://github.com/Byron/google-apis-rs/tree/main/gen/doubleclickbidmanager1-cli,https://github.com/Byron/google-apis-rs/pull/264,2021-04-01T16:20:35Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,3,google-spectrum1_explorer,2.0.0+20170306,2021-04-02 12:44:26.100003 UTC,google-spectrum1_explorer-cli,2.0.4+20170306,2021-04-15 03:02:09.551187 UTC,12,^2.0.4,https://github.com/Byron/google-apis-rs/tree/main/gen/spectrum1_explorer-cli,,,,,not_found
