root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-tasks1,2.0.0+20210329,2021-04-02 12:45:22.984419 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-adexchangeseller2,2.0.0+20171101,2021-04-01 15:53:17.864544 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-consumersurveys2,2.0.0+20170407,2021-04-02 00:07:41.611814 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-urlshortener1-cli,2.0.0+20150519,2021-04-02 14:23:36.270329 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-youtubereporting1-cli,2.0.0+20210329,2021-04-03 01:35:59.194983 UTC,1522,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-adexchangebuyer1d3,2.0.0+20210330,2021-04-01 15:52:59.565185 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-monitoring3-cli,2.0.0+20210322,2021-04-02 14:15:28.592147 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-iam1,2.0.0+20210325,2021-04-02 00:19:14.147762 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-cloudlatencytest2,2.0.0+20160309,2021-04-02 00:07:02.162052 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-fitness1,2.0.0+20210323,2021-04-02 00:11:04.297892 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-licensing1,2.0.0+20210329,2021-04-02 00:19:35.882358 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-groupssettings1-cli,2.0.0+20210325,2021-04-03 01:30:18.918956 UTC,1522,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-adexchangebuyer1d4,2.0.0+20210330,2021-04-01 15:53:07.182588 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-content2,2.0.0+20210325,2021-04-01 16:00:58.850138 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-webfonts1,2.0.0+20210326,2021-04-02 12:46:23.087590 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-webmasters3-cli,2.0.0+20190428,2021-04-03 01:35:44.742294 UTC,1522,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-playmoviespartner1-cli,2.0.0+20170919,2021-04-02 13:33:36.864910 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-replicapoolupdater1_beta1-cli,2.0.0+20161003,2021-04-02 14:17:37.077326 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-appsactivity1-cli,2.0.0+20200628,2021-04-02 14:10:53.966332 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-discovery1,2.0.0+20200806,2021-04-01 16:04:12.213920 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-safebrowsing4,2.0.0+20210330,2021-04-02 12:43:12.476726 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-spectrum1_explorer-cli,2.0.0+20170306,2021-04-02 14:19:28.943252 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-storage1,2.0.0+20210330,2021-04-02 12:44:50.998141 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-storagetransfer1,2.0.0+20210316,2021-04-02 12:44:54.921518 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-youtube3-cli,2.0.0+20210330,2021-04-03 01:35:53.653407 UTC,1522,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-container1-cli,2.0.0+20210314,2021-04-02 13:06:17.193745 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-calendar3,2.0.0+20210327,2021-04-01 15:56:53.005744 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-manufacturers1,2.0.0+20210325,2021-04-02 00:30:48.086573 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-drive3,2.0.0+20210322,2021-04-02 00:10:16.918676 UTC,1521,^5.0
