rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2023-0022,RUSTSEC-2023-0022,UNKNOWN,openssl,2023-03-24 01:49:22.391805 UTC,975,975,98,10,4,2,928,41,0
RUSTSEC-2023-0023,RUSTSEC-2023-0023,UNKNOWN,openssl,2023-03-24 01:49:22.391805 UTC,975,975,98,10,4,2,928,41,0
RUSTSEC-2023-0024,RUSTSEC-2023-0024,UNKNOWN,openssl,2023-03-24 01:49:22.391805 UTC,975,975,98,10,4,2,928,41,0
RUSTSEC-2023-0027,RUSTSEC-2023-0027,UNKNOWN,async-nats,2023-03-24 09:37:54.928166 UTC,14,14,13,92,0,0,13,1,0
RUSTSEC-2023-0029,RUSTSEC-2023-0029,UNKNOWN,nats,2023-11-08 07:59:36.091198 UTC,29,19,17,89,0,0,19,0,0
RUSTSEC-2023-0030,CVE-2023-28448,MEDIUM,versionize,2023-03-24 13:47:50.013505 UTC,2,2,0,0,0,0,2,0,0
RUSTSEC-2023-0031,RUSTSEC-2023-0031,INFO,spin,2023-04-03 08:39:47.531534 UTC,216,120,0,0,0,0,114,6,0
RUSTSEC-2023-0033,RUSTSEC-2023-0033,INFO,borsh,2024-09-23 13:31:41.961473 UTC,585,434,285,65,11,13,399,11,0
RUSTSEC-2023-0034,CVE-2023-26964,UNKNOWN,h2,2023-04-13 14:59:25.899122 UTC,42,42,9,21,0,0,41,1,0
RUSTSEC-2023-0035,RUSTSEC-2023-0035,INFO,enumflags2,2023-04-17 00:12:54.843883 UTC,71,46,0,0,0,0,46,0,0
RUSTSEC-2023-0038,CVE-2023-53160,UNKNOWN,sequoia-openpgp,2023-05-16 13:08:04.733749 UTC,37,37,4,10,0,0,4,33,0
RUSTSEC-2023-0039,CVE-2023-53161,UNKNOWN,buffered-reader,2023-05-19 13:32:30.416371 UTC,10,10,1,10,0,1,1,8,0
RUSTSEC-2023-0041,RUSTSEC-2023-0041,UNKNOWN,trust-dns-server,2023-06-01 17:11:46.556922 UTC,19,19,11,57,1,0,18,0,0
RUSTSEC-2023-0042,RUSTSEC-2023-0042,INFO,ouroboros,2023-06-15 00:08:52.551965 UTC,63,63,63,100,0,0,61,2,0
RUSTSEC-2023-0044,CVE-2023-53159,UNKNOWN,openssl,2023-06-20 21:01:57.273257 UTC,1044,1044,98,9,4,3,997,40,0
RUSTSEC-2023-0045,RUSTSEC-2023-0045,INFO,memoffset,2021-03-25 22:37:21.804193 UTC,41,41,27,65,0,0,41,0,0
RUSTSEC-2023-0048,RUSTSEC-2023-0048,INFO,intaglio,2023-07-26 21:13:14.856540 UTC,2,2,0,0,0,0,0,2,0
RUSTSEC-2023-0052,RUSTSEC-2023-0052,HIGH,webpki,2023-09-30 19:55:39.508148 UTC,228,228,132,57,1,2,222,3,0
